"","SiteNo","Country","Location","Plot","Replication","BLK","Entry","YLD","AD","SD","PH","EH","rEPH","rEPP","nP"
"1",3,"Mexico","Cotaxtla",1,1,1,21,7,8,8,131,67,31,"0.9","58"
"2",3,"Mexico","Cotaxtla",2,1,1,22,8.39,5,5,126,60,29,"1","58"
"3",3,"Mexico","Cotaxtla",3,1,1,32,6.85,6,6,122,60,30,"0.9","54"
"4",3,"Mexico","Cotaxtla",4,1,1,11,8.09,7,7,127,60,28,"1","53"
"5",3,"Mexico","Cotaxtla",5,1,2,4,6.86,5,5,118,40,25,"0.9","58"
"6",3,"Mexico","Cotaxtla",6,1,2,29,6.45,5,5,127,45,24,"0.9","57"
"7",3,"Mexico","Cotaxtla",7,1,2,9,6.07,8,8,68,14,26,"0.8","59"
"8",3,"Mexico","Cotaxtla",8,1,2,16,6.41,9,9,126,54,27,"1","56"
"9",3,"Mexico","Cotaxtla",9,1,3,14,3.11,12,12,68,113,19,"0.7","53"
"10",3,"Mexico","Cotaxtla",10,1,3,13,7.97,7,7,131,54,25,"0.9","58"
"11",3,"Mexico","Cotaxtla",11,1,3,26,8.17,5,5,132,60,26,"1","58"
"12",3,"Mexico","Cotaxtla",12,1,3,1,7.49,6,6,126,60,29,"1","57"
"13",3,"Mexico","Cotaxtla",13,1,4,12,7.12,7,7,118,54,29,"1","57"
"14",3,"Mexico","Cotaxtla",14,1,4,15,7.12,6,6,118,54,29,"0.9","59"
"15",3,"Mexico","Cotaxtla",15,1,4,24,7.11,6,6,97,31,26,"1","55"
"16",3,"Mexico","Cotaxtla",16,1,4,7,6.43,2,2,118,45,27,"0.9","56"
"17",3,"Mexico","Cotaxtla",17,1,5,2,7.92,2,2,118,54,29,"1","57"
"18",3,"Mexico","Cotaxtla",18,1,5,19,1.93,8,8,82,14,24,"0.7","58"
"19",3,"Mexico","Cotaxtla",19,1,5,17,8.92,5,5,122,60,30,"1","55"
"20",3,"Mexico","Cotaxtla",20,1,5,6,6.15,6,6,127,67,32,"0.9","54"
"21",3,"Mexico","Cotaxtla",21,1,6,5,7.44,6,6,136,71,30,"1","54"
"22",3,"Mexico","Cotaxtla",22,1,6,8,8.05,6,6,118,54,29,"1","57"
"23",3,"Mexico","Cotaxtla",23,1,6,28,7.78,8,8,127,60,28,"1","57"
"24",3,"Mexico","Cotaxtla",24,1,6,25,6.43,8,8,118,54,29,"1","54"
"25",3,"Mexico","Cotaxtla",25,1,7,3,8.59,4,4,135,71,30,"1","56"
"26",3,"Mexico","Cotaxtla",26,1,7,27,7.91,5,5,127,71,33,"0.9","57"
"27",3,"Mexico","Cotaxtla",27,1,7,31,7.27,6,6,135,71,30,"0.9","58"
"28",3,"Mexico","Cotaxtla",28,1,7,30,4.93,5,5,118,60,31,"0.7","59"
"29",3,"Mexico","Cotaxtla",29,1,8,18,8.22,5,5,132,67,30,"0.9","57"
"30",3,"Mexico","Cotaxtla",30,1,8,23,2.49,9,9,97,31,26,"0.7","58"
